Distrito electoral local,Demarcación territorial,Sección electoral,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CSP,PVEM_PT_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,Votos nulos,Votos totales,Lista nominal,TOTAL PAN Y COALICIONES ,TOTAL MORENA Y COALICIONES ,DIFERENCIA PAN MORENA Y COALICIONES ,% PAN,% MORENA ,DIFERENCIA %,VISITADO,NO DE FIRMAS
15,Iztacalco,1672,171,55,27,0,0,71,0,27,424,16,3,0,0,12,806,1150,272,424,-152,33.75,52.61,-18.86,,
15,Iztacalco,1673,361,77,16,0,0,68,0,47,441,42,5,3,0,21,1082,1463,504,441,63,46.58,40.76,5.82,,
15,Iztacalco,1674,244,64,23,0,0,72,0,48,484,33,2,1,1,27,999,1333,367,484,-117,36.74,48.45,-11.71,,
15,Iztacalco,1675,366,84,26,0,0,92,0,23,581,34,8,0,0,28,1269,1727,518,581,-63,40.82,45.78,-4.96,,
15,Iztacalco,1676,189,67,27,0,0,61,0,29,450,25,3,0,0,25,877,1221,311,450,-139,35.46,51.31,-15.85,,
15,Iztacalco,1677,76,54,13,0,0,36,0,18,312,9,2,1,0,12,533,765,155,312,-157,29.08,58.54,-29.46,,
15,Iztacalco,1678,200,88,16,0,0,69,0,28,500,17,2,1,0,23,944,1429,324,500,-176,34.32,52.97,-18.64,,
15,Iztacalco,1679,221,60,20,0,0,56,0,29,353,15,4,0,0,11,769,1137,320,353,-33,41.61,45.9,-4.29,,
15,Iztacalco,1680,165,47,15,0,0,66,0,48,525,14,1,0,1,18,900,1268,242,525,-283,26.89,58.33,-31.44,,
15,Iztacalco,1681,193,57,11,0,0,55,0,44,505,14,4,1,0,22,906,1436,280,505,-225,30.91,55.74,-24.83,,
15,Iztacalco,1682,198,56,19,0,0,61,0,34,351,15,2,0,0,15,751,1023,290,351,-61,38.62,46.74,-8.12,,
15,Iztacalco,1683,281,79,27,0,0,70,0,54,489,22,5,0,0,17,1044,1470,414,489,-75,39.66,46.84,-7.18,,
15,Iztacalco,1684,192,57,16,0,0,57,0,33,349,24,1,1,1,12,743,1074,291,349,-58,39.17,46.97,-7.81,,
15,Iztacalco,1685,205,41,21,0,0,36,0,13,258,15,5,1,0,12,618,890,288,258,30,46.6,41.75,4.85,,
15,Iztacalco,1686,151,37,20,0,0,38,0,22,307,11,2,1,0,10,599,835,222,307,-85,37.06,51.25,-14.19,,
15,Iztacalco,1687,250,61,25,0,0,66,0,33,453,15,3,1,0,18,926,1249,355,453,-98,38.34,48.92,-10.58,,
15,Iztacalco,1688,238,78,20,0,0,67,0,39,592,17,2,0,0,23,1076,1605,355,592,-237,32.99,55.02,-22.03,,
15,Iztacalco,1689,126,48,14,0,0,43,0,24,239,7,2,0,0,12,515,766,197,239,-42,38.25,46.41,-8.16,,
15,Iztacalco,1690,171,54,17,0,0,56,0,25,331,9,2,0,0,24,689,1017,253,331,-78,36.72,48.04,-11.32,,
15,Iztacalco,1691,249,77,23,0,0,48,0,21,415,23,4,2,4,21,887,1232,378,415,-37,42.62,46.79,-4.17,,
15,Iztacalco,1692,141,38,22,0,0,55,0,32,381,11,2,1,0,18,701,1082,215,381,-166,30.67,54.35,-23.68,,
15,Iztacalco,1693,182,32,16,0,0,33,0,5,233,22,3,0,0,12,545,762,255,233,22,46.79,42.75,4.04,,
15,Iztacalco,1694,338,60,30,0,0,44,0,19,211,14,3,4,0,13,736,923,449,211,238,61.01,28.67,32.34,,
15,Iztacalco,1695,127,39,10,0,0,20,0,14,189,5,1,1,0,5,411,557,183,189,-6,44.53,45.99,-1.46,,
15,Iztacalco,1696,463,111,42,0,0,103,0,54,689,37,5,1,0,15,1521,2220,659,689,-30,43.33,45.3,-1.97,,
15,Iztacalco,1697,296,83,21,0,0,58,0,36,360,38,2,0,0,20,917,1247,440,360,80,47.98,39.26,8.72,,
15,Iztacalco,1698,358,93,31,0,0,98,0,59,612,41,3,0,1,22,1318,1904,526,612,-86,39.91,46.43,-6.53,,
15,Iztacalco,1699,236,64,40,0,0,65,0,66,599,24,1,1,0,30,1127,1598,366,599,-233,32.48,53.15,-20.67,,
15,Iztacalco,1700,63,18,12,0,0,28,0,8,172,18,3,0,1,7,330,497,114,172,-58,34.55,52.12,-17.58,,
15,Iztacalco,1701,300,109,37,0,0,87,0,57,587,29,5,1,0,19,1231,1748,481,587,-106,39.07,47.68,-8.61,,
15,Iztacalco,1702,230,76,25,0,0,52,0,36,483,24,0,1,0,23,950,1356,356,483,-127,37.47,50.84,-13.37,,
15,Iztacalco,1703,228,61,19,0,0,58,0,32,451,18,1,0,0,19,887,1320,327,451,-124,36.87,50.85,-13.98,,
15,Iztacalco,1704,207,64,37,0,0,36,0,26,423,16,4,3,1,15,832,1141,331,423,-92,39.78,50.84,-11.06,,
15,Iztacalco,1705,179,64,19,0,0,69,0,43,446,17,5,2,0,23,867,1210,286,446,-160,32.99,51.44,-18.45,,
15,Iztacalco,1706,154,56,16,0,0,32,0,65,305,10,3,0,1,14,656,1000,239,305,-66,36.43,46.49,-10.06,,
15,Iztacalco,1707,151,72,24,0,0,40,0,34,459,25,1,0,0,22,828,1178,273,459,-186,32.97,55.43,-22.46,,
15,Iztacalco,1708,184,63,12,0,0,42,0,34,411,19,6,1,0,19,791,1197,285,411,-126,36.03,51.96,-15.93,,
15,Iztacalco,1709,148,48,15,0,0,56,0,15,378,10,3,1,0,8,693,1061,225,378,-153,32.47,54.55,-22.08,,
15,Iztacalco,1710,143,72,19,0,0,46,0,31,362,21,4,0,0,16,714,992,259,362,-103,36.27,50.7,-14.43,,
15,Iztacalco,1711,165,55,16,0,0,40,0,28,377,16,3,1,0,17,719,999,256,377,-121,35.61,52.43,-16.83,,
15,Iztacalco,1712,164,51,15,0,0,42,0,22,378,7,5,0,0,16,700,1026,242,378,-136,34.57,54,-19.43,,
15,Iztacalco,1713,132,51,14,0,0,44,0,31,365,16,1,1,0,17,672,989,215,365,-150,31.99,54.32,-22.32,,
